Timestamp,Metabolic_State,CO2_ppm,O2_percent,Humidity_percent
2025-01-01 0:00:00,sleep,435.2062648,20.76410463,60.53053456
2025-01-01 0:01:00,sleep,436.788817,20.84101968,56.3113302
2025-01-01 0:02:00,exercise,909.5495917,20.19124126,75.84122069
2025-01-01 0:03:00,sleep,445.521142,20.82003279,58.7165835
2025-01-01 0:04:00,sleep,456.5766079,20.78682703,62.9878182
2025-01-01 0:05:00,sleep,461.2483153,20.81457463,63.04693641
2025-01-01 0:06:00,rest,594.8452702,20.66086785,43.58217186
2025-01-01 0:07:00,sleep,451.4957284,20.84049192,64.99915919
2025-01-01 0:08:00,rest,604.2050793,20.6487094,44.98061467
2025-01-01 0:09:00,rest,604.5772359,20.48765771,53.08720923
2025-01-01 0:10:00,exercise,889.7166118,20.08008067,64.56712826
2025-01-01 0:11:00,sleep,456.9488692,20.78383546,59.28008156
2025-01-01 0:12:00,exercise,901.4586113,20.26488759,72.04210436
2025-01-01 0:13:00,sleep,448.544639,20.71676778,64.47315155
2025-01-01 0:14:00,rest,602.4033605,20.60488223,39.3512264
2025-01-01 0:15:00,rest,599.8110588,20.61208769,50.09531501
2025-01-01 0:16:00,sleep,450.1924139,20.75825427,63.77165174
2025-01-01 0:17:00,rest,590.672937,20.5836809,45.67962853
2025-01-01 0:18:00,sleep,454.9479346,20.70626148,60.46845973
2025-01-01 0:19:00,sleep,452.9286242,20.83788062,59.75924467
2025-01-01 0:20:00,rest,603.3299342,20.53490537,52.05375054
2025-01-01 0:21:00,rest,598.694861,20.47759168,47.01413667
2025-01-01 0:22:00,sleep,452.4282893,20.81138584,59.98744098
2025-01-01 0:23:00,sleep,461.3996027,20.79139347,49.38232546
2025-01-01 0:24:00,sleep,457.3924153,20.85883826,65.69346246
2025-01-01 0:25:00,rest,597.3790462,20.59252947,54.91632022
2025-01-01 0:26:00,rest,623.9602638,20.64312477,55.44157468
2025-01-01 0:27:00,sleep,440.0397961,20.73229731,53.21356232
2025-01-01 0:28:00,sleep,453.2809967,20.80437964,59.91489981
2025-01-01 0:29:00,rest,579.0472377,20.49353918,49.86605439
2025-01-01 0:30:00,rest,611.5192062,20.63675008,47.68558887
2025-01-01 0:31:00,rest,589.7433534,20.61095676,43.32284666
2025-01-01 0:32:00,exercise,890.4210141,20.11103903,61.48852325
2025-01-01 0:33:00,sleep,453.6302927,20.86024813,48.91050233
2025-01-01 0:34:00,exercise,905.2399858,20.19365256,68.09948551
2025-01-01 0:35:00,rest,603.6331829,20.64995133,56.79985035
2025-01-01 0:36:00,exercise,858.4277544,20.27770841,58.31394166
2025-01-01 0:37:00,sleep,449.1320538,20.83071356,55.66282688
2025-01-01 0:38:00,rest,580.836028,20.55765444,49.67899429
2025-01-01 0:39:00,rest,597.8731419,20.64233825,54.61416944
2025-01-01 0:40:00,rest,600.1479421,20.68295427,55.88858681
2025-01-01 0:41:00,exercise,906.8334229,20.35256711,66.71269723
2025-01-01 0:42:00,rest,611.9804969,20.61751992,50.46224411
2025-01-01 0:43:00,exercise,903.6323583,20.16338897,54.69785395
2025-01-01 0:44:00,rest,612.2043377,20.50910139,48.88961153
2025-01-01 0:45:00,rest,601.2699741,20.6258391,48.2561867
2025-01-01 0:46:00,sleep,446.2677765,20.74769428,61.2894671
2025-01-01 0:47:00,exercise,887.0792184,20.39489075,61.70834405
2025-01-01 0:48:00,rest,572.517572,20.56352044,55.58178767
2025-01-01 0:49:00,rest,609.295939,20.54305732,53.86568975
2025-01-01 0:50:00,rest,620.9910588,20.6006869,57.51715919
2025-01-01 0:51:00,rest,577.6406944,20.5503211,46.83327888
2025-01-01 0:52:00,exercise,947.3037325,20.03367826,71.58885385
2025-01-01 0:53:00,sleep,451.6029101,20.79884613,64.93544968
2025-01-01 0:54:00,sleep,441.6545641,20.789904,55.50031671
2025-01-01 0:55:00,sleep,446.1169539,20.78396518,50.42269268
2025-01-01 0:56:00,rest,621.3730345,20.54949132,43.02942836
2025-01-01 0:57:00,sleep,466.7552252,20.8481208,53.56597544
2025-01-01 0:58:00,sleep,448.5990446,20.79641627,70.99318363
2025-01-01 0:59:00,sleep,452.2558982,20.84536465,74.50465422
2025-01-01 1:00:00,rest,596.598153,20.59245922,58.27503343
2025-01-01 1:01:00,rest,577.1221464,20.52420897,48.64599338
2025-01-01 1:02:00,sleep,445.5585553,20.84573126,51.34867346
2025-01-01 1:03:00,exercise,899.5599613,20.09268591,58.30663712
2025-01-01 1:04:00,exercise,894.2982316,20.15262642,64.85965162
2025-01-01 1:05:00,sleep,459.745395,20.79272787,60.31712264
2025-01-01 1:06:00,rest,598.1044399,20.56641373,48.34783769
2025-01-01 1:07:00,rest,570.2968061,20.62469015,52.49425605
2025-01-01 1:08:00,sleep,455.3511269,20.72978106,55.35646635
2025-01-01 1:09:00,sleep,451.0029953,20.76905367,62.53477323
2025-01-01 1:10:00,rest,576.8374971,20.61332607,52.55567869
2025-01-01 1:11:00,rest,599.6236131,20.5379697,51.4947299
2025-01-01 1:12:00,sleep,459.1096492,20.76059628,60.13224366
2025-01-01 1:13:00,exercise,878.2422859,20.07050617,56.60148871
2025-01-01 1:14:00,rest,597.0216954,20.62202553,45.77941207
2025-01-01 1:15:00,rest,617.4806054,20.62559467,42.19274988
2025-01-01 1:16:00,sleep,467.4759554,20.81296149,47.86975294
2025-01-01 1:17:00,rest,603.935359,20.59360239,54.98566556
2025-01-01 1:18:00,rest,605.1877697,20.5969627,52.54301182
2025-01-01 1:19:00,rest,582.4253988,20.5593587,49.58897597
2025-01-01 1:20:00,rest,605.4644114,20.59648874,42.67068972
2025-01-01 1:21:00,rest,595.2662946,20.75040431,45.34181866
2025-01-01 1:22:00,rest,605.0678565,20.62877832,47.19176322
2025-01-01 1:23:00,rest,607.2399511,20.64012152,45.07547825
2025-01-01 1:24:00,exercise,929.0083548,20.1434724,64.7486924
2025-01-01 1:25:00,rest,619.4529982,20.694764,56.7032476
2025-01-01 1:26:00,sleep,439.1202793,20.80412771,64.96819265
2025-01-01 1:27:00,rest,589.1582769,20.53550793,54.45587849
2025-01-01 1:28:00,sleep,447.1406296,20.69966789,59.00949602
2025-01-01 1:29:00,exercise,908.3885073,20.41597858,61.64698708
2025-01-01 1:30:00,rest,616.7011666,20.57034119,48.47592666
2025-01-01 1:31:00,rest,604.1973251,20.5640807,57.19439178
